id,name,lat,lon,type, fuel,region,country,status,capacity_tonnes,emfpm10, pm10_t_yr,emfpm25, pm25_t_yr,emfso2, so2_t_yr,emfnox, nox_t_yr
CMP-9,Dandot Cement Company Ltd,32.644464,72.976899,integrated,,Punjab,Pakistan,operating,504000,0.0002223,112.0392,0.0001235,62.244,0.0007695,387.828,0.000494,248.976
CMP-10,Dewan Cement Ltd,33.856388,72.863033,integrated,,Khyber Pakhtunkhwa,Pakistan,operating,1390000,0.0002223,308.997,0.0001235,171.665,0.0007695,1069.605,0.000494,686.66
CMP-11,Dewan Cement Ltd,24.909361,67.474854,integrated,,Sindh,Pakistan,operating,2080000,0.0002223,462.384,0.0001235,256.88,0.0007695,1600.56,0.000494,1027.52
CMP-12,Fauji Cement Company Ltd,33.690512,72.713367,integrated,,Punjab,Pakistan,operating,3430000,0.0002223,762.489,0.0001235,423.605,0.0007695,2639.385,0.000494,1694.42
CMP-13,Fecto Cement Ltd,33.693119,72.859164,integrated,,Islamabad Capital Territory,Pakistan,operating,900000,0.0002223,200.07,0.0001235,111.15,0.0007695,692.55,0.000494,444.6
CMP-14,Flying Cement Co Ltd,32.574803,72.565983,integrated,,Punjab,Pakistan,operating,600000,0.0002223,133.38,0.0001235,74.1,0.0007695,461.7,0.000494,296.4
CMP-15,Gharibwal Cement Ltd,32.726458,73.142329,integrated,,Punjab,Pakistan,operating,2450000,0.0002223,544.635,0.0001235,302.575,0.0007695,1885.275,0.000494,1210.3
CMP-16,Cherat Cement Company Ltd,33.905264,71.91052,integrated,,Khyber Pakhtunkhwa,Pakistan,operating,4500000,0.0002223,1000.35,0.0001235,555.75,0.0007695,3462.75,0.000494,2223
CMP-17,Kohat Cement Company Ltd,33.548053,71.549005,integrated,,Khyber Pakhtunkhwa,Pakistan,operating,2950000,0.0002223,655.785,0.0001235,364.325,0.0007695,2270.025,0.000494,1457.3
CMP-18,Maple Leaf Cement Factory Ltd,32.907938,71.590321,integrated,,Punjab,Pakistan,operating,4380000,0.0002223,973.674,0.0001235,540.93,0.0007695,3370.41,0.000494,2163.72
CMP-19,Lucky Cement Ltd,25.053071,67.494014,integrated,,Sindh,Pakistan,operating,8000000,0.0002223,1778.4,0.0001235,988,0.0007695,6156,0.000494,3952
CMP-20,Dadabhoy Cement Industries Ltd,25.15328,67.672503,integrated,,Sindh,Pakistan,operating,1020000,0.0002223,226.746,0.0001235,125.97,0.0007695,784.89,0.000494,503.88
CMP-21,Attock Cement Pakistan Ltd,25.139196,66.914996,integrated,,Balochistan,Pakistan,operating,3000000,0.0002223,666.9,0.0001235,370.5,0.0007695,2308.5,0.000494,1482
CMP-22,Pioneer Cement Ltd,32.387991,72.14237,integrated,,Punjab,Pakistan,operating,1300000,0.0002223,288.99,0.0001235,160.55,0.0007695,1000.35,0.000494,642.2
CMP-23,Power Cement Ltd,25.154011,67.703129,integrated,,Sindh,Pakistan,operating,600000,0.0002223,133.38,0.0001235,74.1,0.0007695,461.7,0.000494,296.4
CMP-24,Rohri Cement Factory Pvt Ltd,27.669985,68.891452,integrated,,Sindh,Pakistan,operating,1800000,0.0002223,400.14,0.0001235,222.3,0.0007695,1385.1,0.000494,889.2
CMP-25,Thatta Cement Company Ltd,24.648057,67.843569,integrated,,Sindh,Pakistan,operating,675000,0.0002223,150.0525,0.0001235,83.3625,0.0007695,519.4125,0.000494,333.45
CMP-26,Zeal Pak Cement Factory Ltd,25.34692,68.396246,integrated,,Sindh,Pakistan,operating,576000,0.0002223,128.0448,0.0001235,71.136,0.0007695,443.232,0.000494,284.544
CMP-27,N/A,24.44605,83.075826,integrated,,Uttar Pradesh,India,operating,1590000,0.0002223,353.457,0.0001235,196.365,0.0007695,1223.505,0.000494,785.46
CMP-28,N/A,24.63924,83.101967,integrated,,Uttar Pradesh,India,operating,0,0.0002223,0,0.0001235,0,0.0007695,0,0.000494,0
CMP-29,N/A,25.087704,82.902584,grinding,,Uttar Pradesh,India,operating,0,0.0002223,0,0.0001235,0,0.0007695,0,0.000494,0
CMP-30,N/A,25.229553,81.781506,grinding,,Uttar Pradesh,India,operating,0,0.0002223,0,0.0001235,0,0.0007695,0,0.000494,0
CMP-31,N/A,22.392435,87.015888,grinding,,West Bengal,India,operating,0,0.0002223,0,0.0001235,0,0.0007695,0,0.000494,0
CMP-32,N/A,27.960795,78.08159,grinding,,Uttar Pradesh,India,operating,0,0.0002223,0,0.0001235,0,0.0007695,0,0.000494,0
CMP-33,N/A,23.718837,86.954305,grinding,,West Bengal,India,operating,0,0.0002223,0,0.0001235,0,0.0007695,0,0.000494,0
