id,name,lat,lon,type, fuel,region,country,status,capacity_tonnes,emfpm10, pm10_t_yr,emfpm25,pm25_t_yr,emfso2,�so2_t_yr,emfnox,nox_t_yr,source
WSI-44,"JIndia, Haryana, 126100",29.31059128,76.30886403,Dumpsites,,,India,operating_status,3054.08,,,,,,,,,
WSI-45,"Barasat, Barasat - I, North 24 Parganas",22.70557997,88.51867675,Dumpsites,,,India,operating_status,3030.07,,,,,,,,,
WSI-46,"Pataudi, Gurugram, Haryana",28.31978981,76.77482781,Dumpsites,,,India,operating_status,2889.22,,,,,,,,,
WSI-47,"Naihati, Barrackpur - I, North 24 Parganas",22.89544859,88.41081914,Dumpsites,,,India,operating_status,2660.59,,,,,,,,,
WSI-48,"Rampurhat, Rampurhat - I, Birbhum",24.18793289,87.75696494,Dumpsites,,,India,operating_status,2545.59,,,,,,,,,
WSI-49,"Uttarpara Kotrung, Serampur Uttarpara, Hugli",22.66676764,88.33539588,Dumpsites,,,India,operating_status,2451.52,,,,,,,,,
WSI-50,"Huda, Sector 21, Gurgaon",28.51334106,77.07111936,Dumpsites,,,India,operating_status,2395.25,,,,,,,,,
WSI-51,"Maheshtala, Thakurpukur Maheshtala, South 24 Parganas",22.49296663,88.20559455,Dumpsites,,,India,operating_status,2294.27,,,,,,,,,
WSI-52,"Sonipat, Haryana, 131001",29.03573952,77.05928298,Dumpsites,,,India,operating_status,2284.79,,,,,,,,,
WSI-53,"Krishnanagar City, Krishnanagar, Krishnagar-I",23.4052008,88.51160004,Dumpsites,,,India,operating_status,2187.08,,,,,,,,,
WSI-54,"Mandi Dabwali, Dabwali, Sirsa",29.95810865,74.69024591,Dumpsites,,,India,operating_status,2085.05,,,,,,,,,
WSI-55,"Odr32, Giddarbaha, Gidderbaha Tahsil",30.20093596,74.67135303,Dumpsites,,,India,operating_status,2080.96,,,,,,,,,
WSI-56,"Punjabi Bagh Tehsil, West Delhi, Delhi",28.67499067,77.13314799,Dumpsites,,,India,operating_status,2015.54,,,,,,,,,
WSI-57,"Jiaganj, Murshidabad Jiaganj, Murshidabad",24.22637587,88.26787871,Dumpsites,,,India,operating_status,1997.27,,,,,,,,,
WSI-58,"Pace Cityii, Sector 36, Gurgaon",28.42215076,76.98963273,Dumpsites,,,India,operating_status,1970.05,,,,,,,,,
WSI-59,"Mathura, Uttar Pradesh, 281001",27.46103174,77.71197512,Dumpsites,,,India,operating_status,1907.83,,,,,,,,,
WSI-60,"Bahraich, Uttar Pradesh, 271801",27.58906285,81.60109226,Dumpsites,,,India,operating_status,1900.16,,,,,,,,,
WSI-61,"Sangaria Road, Hanumangarh, Hanumangarh Tehsil",29.64560192,74.32062937,Dumpsites,,,India,operating_status,1895.17,,,,,,,,,
WSI-62,"Sh4, Ghatal, Paschim Medinipur",22.6636132,87.72401224,Dumpsites,,,India,operating_status,1845.61,,,,,,,,,
WSI-63,"Karchhana, Prayagraj, Uttar Pradesh",25.37967539,81.80538019,Dumpsites,,,India,operating_status,1841.6,,,,,,,,,
WSI-64,"Punjabi Bagh Tehsil, West Delhi, Delhi",28.66519482,76.96512235,Dumpsites,,,India,operating_status,1830.94,,,,,,,,,
WSI-65,"Nilgunj Road, Kamarhati, Barrackpur - Ii",22.67868228,88.38005235,Dumpsites,,,India,operating_status,1769.87,,,,,,,,,
WSI-66,"Beltala, Barrackpore, Barrackpur - Ii",22.74902429,88.38258201,Dumpsites,,,India,operating_status,1743.27,,,,,,,,,
WSI-67,"Sardar Bazar, Barrackpore, Barrackpur - Ii",22.77032703,88.33791195,Dumpsites,,,India,operating_status,1733.75,,,,,,,,,
WSI-68,"Beri, Jhajjar, Haryana",28.72929232,76.66983733,Dumpsites,,,India,operating_status,1711.58,,,,,,,,,
WSI-69,"Baraut, Baghpat, Uttar Pradesh",29.08527477,77.25855577,Dumpsites,,,India,operating_status,1685.62,,,,,,,,,
WSI-70,"Howrah, Haora, Howrah",22.61039609,88.32622551,Dumpsites,,,India,operating_status,1660.05,,,,,,,,,
WSI-71,"Sodepur, Panihati, Barrackpur - Ii",22.69176963,88.38586895,Dumpsites,,,India,operating_status,1484.07,,,,,,,,,
WSI-72,"Barharganj, Nh730, Padrauna",26.9241593,83.92082686,Dumpsites,,,India,operating_status,1455.54,,,,,,,,,
WSI-73,"VrIndiaavan, Mathura, Uttar Pradesh",27.55622174,77.68235353,Dumpsites,,,India,operating_status,1414.12,,,,,,,,,
WSI-74,"Sector 1, Manesar, Gurugram",28.35673244,76.94389226,Dumpsites,,,India,operating_status,1403.98,,,,,,,,,
WSI-75,"Sector 106, Gurgaon, Gurugram",28.49832618,77.00233295,Dumpsites,,,India,operating_status,1399.35,,,,,,,,,
WSI-76,"Summer Sprint Py, Asola, Sohna",28.40184662,77.17115072,Dumpsites,,,India,operating_status,1361.51,,,,,,,,,
WSI-77,"Indiaustrial Modern Township Manesar, Manesar, Gurugram",28.35770798,76.91378948,Dumpsites,,,India,operating_status,1336.57,,,,,,,,,
WSI-78,"Allahbas, Dadri, Gautam Buddha Nagar",28.5187239,77.41689754,Dumpsites,,,India,operating_status,1297.23,,,,,,,,,
WSI-79,"Saraswati Vihar Tehsil, North West Delhi, Delhi",28.71425499,77.16136969,Dumpsites,,,India,operating_status,1296.13,,,,,,,,,
WSI-80,"Kanchrapara, Barrackpur - I, North 24 Parganas",22.94934674,88.43282166,Dumpsites,,,India,operating_status,1254.42,,,,,,,,,
WSI-81,"Ghaziabad, Ghaziabad District, Uttar Pradesh",28.70274036,77.44668644,Dumpsites,,,India,operating_status,1141.6,,,,,,,,,
WSI-82,"Dinanagar, Gurdaspur Tahsil, Gurdaspur District",32.12741805,75.46919809,Dumpsites,,,India,operating_status,1112.43,,,,,,,,,
WSI-83,"Sainik Farm, Tigri, Saket Tehsil",28.49914403,77.22263117,Dumpsites,,,India,operating_status,1050.12,,,,,,,,,
WSI-84,"Kharagpur, Kharagpur-I, Paschim Medinipur",22.33262234,87.29863055,Dumpsites,,,India,operating_status,1042.5,,,,,,,,,
