id,lat,lon,type,fuel,state,country,status,capacity_tonnes,emfpm10,pm10_t_yr,emfpm25,pm25_t_yr,emfso2,so2_t_yr,emfnox,Nox_t_yr,source
BKI-37,25.95172094,83.89382365,FCBK,coal,Uttar Pradesh,India,operating,"7,504.58",0.0097,72.7943775,0.0068,51.03111,0.0046,34.521045,0.0047,35.2715025,APAD
BKI-38,26.27765442,81.21600189,FCBK,coal,Uttar Pradesh,India,operating,"7,504.58",0.0097,72.7943775,0.0068,51.03111,0.0046,34.521045,0.0047,35.2715025,APAD
BKI-39,26.33119526,81.27154481,FCBK,coal,Uttar Pradesh,India,operating,"7,504.58",0.0097,72.7943775,0.0068,51.03111,0.0046,34.521045,0.0047,35.2715025,APAD
BKI-40,26.04218746,81.46839468,FCBK,coal,Uttar Pradesh,India,operating,"7,504.58",0.0097,72.7943775,0.0068,51.03111,0.0046,34.521045,0.0047,35.2715025,APAD
BKI-41,26.16315,81.38399855,FCBK,coal,Uttar Pradesh,India,operating,"7,504.58",0.0097,72.7943775,0.0068,51.03111,0.0046,34.521045,0.0047,35.2715025,APAD
BKI-42,26.22178505,81.1342448,FCBK,coal,Uttar Pradesh,India,operating,"7,504.58",0.0097,72.7943775,0.0068,51.03111,0.0046,34.521045,0.0047,35.2715025,APAD
BKI-43,26.20974948,81.36672476,FCBK,coal,Uttar Pradesh,India,operating,"7,504.58",0.0097,72.7943775,0.0068,51.03111,0.0046,34.521045,0.0047,35.2715025,APAD
BKI-44,25.919126,84.09474363,FCBK,coal,Uttar Pradesh,India,operating,"7,504.58",0.0097,72.7943775,0.0068,51.03111,0.0046,34.521045,0.0047,35.2715025,APAD
BKI-45,25.84382221,83.88375183,FCBK,coal,Uttar Pradesh,India,operating,"7,504.58",0.0097,72.7943775,0.0068,51.03111,0.0046,34.521045,0.0047,35.2715025,APAD
BKI-46,25.84256386,83.88249408,FCBK,coal,Uttar Pradesh,India,operating,"7,504.58",0.0097,72.7943775,0.0068,51.03111,0.0046,34.521045,0.0047,35.2715025,APAD
